narration_id,participant_id,video_id,start_frame,stop_frame,verb
P01_01_1,P01,P01_01,262,370,6
P01_01_10,P01,P01_01,1498,1572,3
P01_01_100,P01,P01_01,28785,28852,0
P01_01_101,P01,P01_01,28888,28932,3
P01_01_102,P01,P01_01,28927,28980,5
P01_01_103,P01,P01_01,29113,29232,0
P01_01_104,P01,P01_01,29302,29347,1
P01_01_105,P01,P01_01,29520,29564,3
P01_01_106,P01,P01_01,29593,29662,5
P01_01_107,P01,P01_01,29748,29819,4
P01_01_108,P01,P01_01,29978,30036,5
P01_01_109,P01,P01_01,30141,30198,0
P01_01_11,P01,P01_01,1753,1879,4
P01_01_110,P01,P01_01,30279,30475,1
P01_01_111,P01,P01_01,30489,30596,3
P01_01_112,P01,P01_01,30557,30692,0
P01_01_113,P01,P01_01,30759,30865,1
P01_01_114,P01,P01_01,31008,31082,3
P01_01_115,P01,P01_01,31072,31147,0
P01_01_116,P01,P01_01,31160,31215,1
P01_01_117,P01,P01_01,31271,31324,0
P01_01_12,P01,P01_01,2200,2266,1
P01_01_120,P01,P01_01,32522,32578,0
P01_01_121,P01,P01_01,32783,32845,3
P01_01_122,P01,P01_01,32844,32940,5
P01_01_123,P01,P01_01,32956,33001,4
P01_01_124,P01,P01_01,33204,33269,0
P01_01_126,P01,P01_01,33667,33739,0
P01_01_127,P01,P01_01,33667,33751,0
P01_01_128,P01,P01_01,33724,33768,0
P01_01_129,P01,P01_01,33855,34130,7
P01_01_13,P01,P01_01,2507,2553,3
P01_01_135,P01,P01_01,38370,38416,1
P01_01_137,P01,P01_01,38669,38719,0
P01_01_138,P01,P01_01,38980,39046,1
P01_01_14,P01,P01_01,2592,2798,0
P01_01_140,P01,P01_01,39285,39345,0
P01_01_142,P01,P01_01,39753,39813,3
P01_01_143,P01,P01_01,39813,39918,0
P01_01_144,P01,P01_01,40038,40449,1
P01_01_146,P01,P01_01,40770,40937,0
P01_01_149,P01,P01_01,41944,42114,1
P01_01_15,P01,P01_01,2787,2868,1
P01_01_150,P01,P01_01,42231,42324,0
P01_01_152,P01,P01_01,42788,42983,4
P01_01_153,P01,P01_01,42989,43069,1
P01_01_154,P01,P01_01,43075,43128,0
P01_01_155,P01,P01_01,43141,43202,0
P01_01_157,P01,P01_01,43347,43413,1
P01_01_16,P01,P01_01,2865,2925,4
P01_01_160,P01,P01_01,45023,45091,0
P01_01_161,P01,P01_01,45097,45189,3
P01_01_162,P01,P01_01,45165,45240,1
P01_01_163,P01,P01_01,45185,45269,3
P01_01_164,P01,P01_01,45297,45402,0
P01_01_168,P01,P01_01,45894,45945,4
P01_01_169,P01,P01_01,45966,46006,1
P01_01_17,P01,P01_01,3099,3180,3
P01_01_170,P01,P01_01,46050,46164,1
P01_01_171,P01,P01_01,46172,46216,0
